Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/07/2024,04/09/2024,IN-N-OUT CHULA VISTA,Food & Drink,Sale,-16.75,
04/08/2024,04/09/2024,TST* RBW,Food & Drink,Sale,-72.88,
04/07/2024,04/08/2024,SQ *LA COLOMBE - LA JOLLA,Food & Drink,Sale,-4.75,
04/05/2024,04/07/2024,PHO DUYEN MAI,Food & Drink,Sale,-39.33,
04/06/2024,04/07/2024,WIENERSCHNITZEL 153,Food & Drink,Sale,-4.84,
04/05/2024,04/07/2024,SQ *THE HOT SPOT STUDIO L,Shopping,Sale,-65.25,
04/03/2024,04/03/2024,Payment Thank You-Mobile,,Payment,2588.00,
04/02/2024,04/03/2024,TURO INC.* TRIP MAR 28,Travel,Return,6.15,
04/02/2024,04/03/2024,TOP GOLF BAY RESERVATION,Entertainment,Sale,-12.07,
04/01/2024,04/03/2024,TOPGOLF SALT LAKE  026-2,Food & Drink,Sale,-38.90,
04/03/2024,04/03/2024,LYFT   *1 RIDE 04-01,Travel,Sale,-20.57,
04/02/2024,04/03/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-44.57,
04/02/2024,04/02/2024,LATE FEE,Fees & Adjustments,Fee,-29.00,
03/31/2024,04/02/2024,McDonalds 10781,Food & Drink,Sale,-4.46,
03/31/2024,04/02/2024,Aranya Thai Kitchen,Food & Drink,Sale,-128.53,
04/01/2024,04/02/2024,CHIPOTLE 0953,Food & Drink,Sale,-37.35,
03/31/2024,04/01/2024,SQ *FISHER BREWING COMPAN,Food & Drink,Sale,-6.00,
03/31/2024,04/01/2024,SQ *FISHER BREWING COMPAN,Food & Drink,Sale,-25.00,
04/01/2024,04/01/2024,LYFT   *2 RIDES 03-30,Travel,Sale,-40.10,
03/30/2024,03/31/2024,SQ *DISTRICT COFFEE CO.,Food & Drink,Sale,-5.35,
03/30/2024,03/31/2024,IN-N-OUT MIDVALE,Food & Drink,Sale,-16.89,
03/29/2024,03/31/2024,TST* BEWILDER BREWING COM,Food & Drink,Sale,-14.05,
03/29/2024,03/31/2024,TST* BEWILDER BREWING COM,Food & Drink,Sale,-20.49,
03/29/2024,03/31/2024,DD DOORDASH MOBETTAHS,Food & Drink,Sale,-78.37,
03/30/2024,03/31/2024,Salt Lake City,Travel,Sale,-2.25,
03/30/2024,03/31/2024,SQ *2 ROW BREWING,Shopping,Sale,-43.68,
03/30/2024,03/31/2024,LYFT   *1 RIDE 03-28,Travel,Sale,-20.25,
03/29/2024,03/31/2024,SQ *DISTRICT COFFEE CO.,Food & Drink,Sale,-10.79,
03/30/2024,03/31/2024,TST* ALIBI,Food & Drink,Sale,-36.44,
03/22/2024,03/25/2024,SUSHI OTA,Food & Drink,Sale,-169.11,
03/25/2024,03/25/2024,FLIFF  INC,Entertainment,Sale,-19.99,
03/22/2024,03/25/2024,SUPER SERGIOS #1,Food & Drink,Sale,-31.52,
03/23/2024,03/24/2024,PANDA EXPRESS 1316,Food & Drink,Sale,-12.72,
03/23/2024,03/24/2024,TST* SDCM - THE GRASS SKI,Food & Drink,Sale,-45.00,
03/23/2024,03/24/2024,TST* FERNSIDE,Food & Drink,Sale,-31.00,
03/21/2024,03/22/2024,TURO INC.* TRIP MAR 28,Travel,Sale,-287.69,
03/17/2024,03/18/2024,CHIPOTLE 2086,Food & Drink,Sale,-23.54,
03/15/2024,03/17/2024,IN-N-OUT TEMECULA,Food & Drink,Sale,-17.73,
03/14/2024,03/15/2024,WHOP.COM/PAY/XP7YPD,Shopping,Sale,-100.00,
03/13/2024,03/14/2024,McDonalds 38204,Food & Drink,Sale,-5.74,
03/13/2024,03/14/2024,TST* COMMON THEORY OTAY R,Food & Drink,Sale,-50.28,
03/13/2024,03/14/2024,AIRBNB  HM58QHH9KM,Travel,Sale,-319.52,
03/12/2024,03/13/2024,DD DOORDASH THEKEBABS,Food & Drink,Sale,-27.09,
03/09/2024,03/11/2024,TST* PUESTO - MISSION VAL,Food & Drink,Sale,-113.60,
03/09/2024,03/10/2024,TST* PANAMA 66,Food & Drink,Sale,-21.40,
03/07/2024,03/10/2024,IN-N-OUT  CHULAVISTA,Food & Drink,Sale,-18.22,
03/05/2024,03/05/2024,Payment Thank You-Mobile,,Payment,7050.00,
03/03/2024,03/04/2024,TST* PARK &amp; REC,Food & Drink,Sale,-63.37,
03/03/2024,03/04/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-35.85,
03/03/2024,03/04/2024,TST* POLITE PROVISIONS,Food & Drink,Sale,-77.19,
03/02/2024,03/04/2024,TST* BAHN THAI,Food & Drink,Sale,-32.22,
03/02/2024,03/03/2024,SENOR MANGOS,Food & Drink,Sale,-12.68,
03/02/2024,03/03/2024,TST* FERNSIDE,Food & Drink,Sale,-36.00,
03/03/2024,03/03/2024,DD DOORDASH TACOBELL,Food & Drink,Sale,-24.35,
02/29/2024,03/01/2024,TST* COMMON THEORY OTAY R,Food & Drink,Sale,-22.48,
02/28/2024,02/29/2024,PANDA EXPRESS #784 P,Food & Drink,Sale,-10.99,
02/28/2024,02/29/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-28.77,
02/26/2024,02/27/2024,CHIPOTLE 2425,Food & Drink,Sale,-19.14,
02/23/2024,02/26/2024,SUPER SERGIOS #1,Food & Drink,Sale,-35.80,
02/26/2024,02/26/2024,DD DOORDASH THAITASTE,Food & Drink,Sale,-29.21,
02/26/2024,02/26/2024,AIRBNB  HM58QHH9KM,Travel,Sale,-909.22,
02/23/2024,02/25/2024,TST* SALUD BARRIO,Food & Drink,Sale,-166.00,
02/23/2024,02/25/2024,SQ *LONGPLAY STUDIO,Professional Services,Sale,-40.56,
02/24/2024,02/25/2024,PANDA EXPRESS 1316,Food & Drink,Sale,-10.18,
02/23/2024,02/25/2024,TST* MACHETE BEER HOUSE N,Food & Drink,Sale,-21.57,
02/19/2024,02/20/2024,ALAMO RENT-A-CAR,Travel,Sale,-557.98,
02/19/2024,02/20/2024,HFS LIBERTY STATION,Food & Drink,Sale,-24.00,
02/19/2024,02/20/2024,SMF MANGO TACO 6401523,Food & Drink,Sale,-18.31,
02/18/2024,02/19/2024,DD DOORDASH LLHAWAIIA,Food & Drink,Sale,-18.94,
02/16/2024,02/18/2024,MCDONALD'S F5062,Food & Drink,Sale,-6.19,
02/16/2024,02/18/2024,7-ELEVEN 41288,Gas,Sale,-5.00,
02/18/2024,02/18/2024,LYFT   *1 RIDE 02-16,Travel,Sale,-48.99,
02/14/2024,02/16/2024,SUPER SERGIOS #1,Food & Drink,Sale,-19.47,
02/15/2024,02/16/2024,PIACERE MIO,Food & Drink,Sale,-95.00,
02/14/2024,02/16/2024,TST* MACHETE BEER HOUSE N,Food & Drink,Sale,-82.76,
02/12/2024,02/14/2024,VONS #2826,Groceries,Sale,-42.94,
02/12/2024,02/13/2024,HOTEL THEODORE F&amp;B,Food & Drink,Sale,-5.13,
02/11/2024,02/13/2024,HOTEL THEODORE,Travel,Sale,-750.61,
02/11/2024,02/13/2024,HOTEL THEODORE,Travel,Sale,-511.13,
02/12/2024,02/13/2024,DD DOORDASH ELPOLLOGR,Food & Drink,Sale,-43.20,
02/11/2024,02/13/2024,HOTEL THEODORE,Travel,Sale,-750.61,
02/10/2024,02/12/2024,NYC 7TH AVE DELI &amp; MARKET,Food & Drink,Sale,-49.45,
02/11/2024,02/12/2024,TAPROOM AT PIKE PLACE,Food & Drink,Sale,-31.67,
02/11/2024,02/12/2024,ORCA,Travel,Sale,-30.00,
02/11/2024,02/12/2024,7-ELEVEN 35532,Gas,Sale,-2.50,
02/10/2024,02/12/2024,SIREN STORE 22344,Food & Drink,Sale,-42.00,
02/11/2024,02/12/2024,HOTEL THEODORE F&amp;B,Food & Drink,Sale,-117.59,
02/10/2024,02/11/2024,TST* STILL LIQUOR LLC NEW,Food & Drink,Sale,-10.42,
02/09/2024,02/11/2024,NYC 7TH AVE DELI &amp; MARKET,Food & Drink,Sale,-2.49,
02/10/2024,02/11/2024,SQ *PIKE PLACE BAGS,Shopping,Sale,-22.04,
02/11/2024,02/11/2024,TST* BIANG BIANG NOODLES,Food & Drink,Sale,-181.41,
02/09/2024,02/11/2024,TST* CLOUDBURST BREWING,Food & Drink,Sale,-16.33,
02/09/2024,02/11/2024,HOTEL THEODORE F&amp;B,Food & Drink,Sale,-73.34,
02/09/2024,02/11/2024,TST* PIKE PLACE CHOWDER,Food & Drink,Sale,-23.70,
02/08/2024,02/11/2024,SIREN STORE 22344,Food & Drink,Sale,-37.49,
02/09/2024,02/11/2024,SHIRO'S,Food & Drink,Sale,-1350.30,
02/09/2024,02/11/2024,NYC 7TH AVE DELI &amp; MARKET,Food & Drink,Sale,-48.25,
02/08/2024,02/09/2024,ORCA,Travel,Sale,-24.00,
02/06/2024,02/06/2024,Payment Thank You-Mobile,,Payment,4802.10,
02/02/2024,02/05/2024,SUPER SERGIOS #1,Food & Drink,Sale,-28.57,
02/03/2024,02/04/2024,TST* FERNSIDE,Food & Drink,Sale,-75.00,
01/31/2024,02/02/2024,IN-N-OUT CHULA VISTA,Food & Drink,Sale,-16.42,
02/01/2024,02/02/2024,PHO CONVOY NOODLE HOUSE,Food & Drink,Sale,-53.80,
01/29/2024,01/31/2024,TST* EL POLLO GRILL OTAY,Food & Drink,Sale,-34.61,
01/27/2024,01/30/2024,LEE WESLEY PANDA EXPRE,Food & Drink,Sale,-17.03,
01/28/2024,01/30/2024,TST* GRANDMA TOFU AND KOR,Food & Drink,Sale,-99.52,
01/29/2024,01/30/2024,TST* FERNSIDE,Food & Drink,Sale,-358.82,
01/28/2024,01/29/2024,TST* PANAMA 66,Food & Drink,Sale,-21.40,
01/29/2024,01/29/2024,LYFT   *1 RIDE 01-27,Travel,Sale,-15.70,
01/28/2024,01/29/2024,TST* PANAMA 66,Food & Drink,Sale,-21.40,
01/27/2024,01/28/2024,DD DOORDASH THAITHAIR,Food & Drink,Sale,-110.85,
01/27/2024,01/28/2024,CHIPOTLE 2745,Food & Drink,Sale,-10.06,
01/27/2024,01/28/2024,CHIPOTLE 2745,Food & Drink,Sale,-14.11,
01/28/2024,01/28/2024,LYFT   *1 RIDE 01-26,Travel,Sale,-12.05,
01/27/2024,01/28/2024,DUNKIN #358632 Q35,Food & Drink,Sale,-4.99,
01/26/2024,01/28/2024,ALLURE OF THE SEAS,Travel,Sale,-198.64,
01/26/2024,01/28/2024,BEACHSIDE VR LLC,Travel,Sale,-20.00,
01/27/2024,01/28/2024,DOORDASH*WALGREENS,Food & Drink,Sale,-52.36,
01/24/2024,01/25/2024,TIKI BIKINI HUT,Food & Drink,Sale,-377.50,
01/21/2024,01/24/2024,WDW FIGMENT'S,Food & Drink,Sale,-9.75,
01/21/2024,01/24/2024,WDW ROSE &amp;CROWN PUB,Food & Drink,Sale,-44.94,
01/21/2024,01/23/2024,WDW LIGHTNING/GENIE,Entertainment,Sale,-31.96,
01/22/2024,01/23/2024,BUDGET RENT A CAR,Travel,Sale,-556.36,
01/21/2024,01/23/2024,EVENT KIOSK EPCOT JAPAN,Food & Drink,Sale,-32.50,
01/21/2024,01/23/2024,JAPAN PAVILION AT EPCOT,Shopping,Sale,-30.73,
01/21/2024,01/22/2024,LE CREPERIE DE PARI,Food & Drink,Sale,-13.32,
01/21/2024,01/22/2024,CHIPOTLE 3471,Food & Drink,Sale,-19.67,
01/18/2024,01/21/2024,TST* HIGH FLYING FOODS -,Food & Drink,Sale,-16.39,
01/19/2024,01/21/2024,DISNEY AK PARKING,Entertainment,Sale,-30.00,
01/20/2024,01/21/2024,CONFISCOS 00901231,Food & Drink,Sale,-125.55,
01/19/2024,01/21/2024,WDW TRADING COMPANY,Shopping,Sale,-15.75,
01/20/2024,01/21/2024,BURGER DIGS MOBILE 00901,Entertainment,Sale,-20.84,
01/19/2024,01/21/2024,WDW LIGHTNING/GENIE,Entertainment,Sale,-34.08,
01/19/2024,01/21/2024,WDW PONGU PONGU,Food & Drink,Sale,-15.98,
01/19/2024,01/21/2024,WDW FLAME TREE,Food & Drink,Sale,-20.22,
01/18/2024,01/21/2024,TACO BELL 023302,Food & Drink,Sale,-22.09,
01/20/2024,01/21/2024,DD DOORDASH WINGSTOP,Food & Drink,Sale,-63.77,
01/19/2024,01/21/2024,WDW THIRSTY RIVER,Food & Drink,Sale,-12.98,
01/19/2024,01/21/2024,WDW DAWA BAR,Food & Drink,Sale,-34.48,
01/19/2024,01/21/2024,CHICK-FIL-A #1256,Food & Drink,Sale,-19.38,
01/17/2024,01/19/2024,LOLITAS - EASTLAKE AOO,Food & Drink,Sale,-12.51,
01/17/2024,01/17/2024,SP BARE PERFORMANCE,Groceries,Sale,-35.57,
01/13/2024,01/15/2024,GO PORT CANAVERAL,Travel,Sale,-89.97,
01/13/2024,01/14/2024,CITYSD PARKING 28881,Travel,Sale,-2.50,
01/13/2024,01/14/2024,TST* GOAL BREWING,Food & Drink,Sale,-40.01,
01/13/2024,01/14/2024,CITYSD PARKING 28881,Travel,Sale,-1.75,
01/11/2024,01/14/2024,SUPER SERGIOS #2,Food & Drink,Sale,-28.34,
01/11/2024,01/14/2024,CLOWN MARKET,Groceries,Sale,-45.60,
01/12/2024,01/14/2024,PETCO 1149,Shopping,Sale,-29.40,
01/13/2024,01/14/2024,LOLITA'S - SUNBOW,Food & Drink,Sale,-19.00,
01/10/2024,01/11/2024,DD DOORDASH SIMPLYFRE,Food & Drink,Sale,-36.53,
01/09/2024,01/10/2024,DD DOORDASH TACOBELL,Food & Drink,Sale,-18.96,
01/09/2024,01/09/2024,Payment Thank You-Mobile,,Payment,2376.61,
01/05/2024,01/08/2024,HUMBERTOS TACO SHOP #1,Food & Drink,Sale,-24.71,
01/06/2024,01/07/2024,Stone Brewing - Libert,Food & Drink,Sale,-32.01,
01/05/2024,01/07/2024,SOAPY JOE'S CAR WASH - B,Automotive,Sale,-13.00,
01/05/2024,01/07/2024,AIRBNB  HMMKASWYM4,Travel,Sale,-874.95,
01/05/2024,01/07/2024,TST* BOTTLECRAFT LIBERTY,Food & Drink,Sale,-20.80,
01/06/2024,01/07/2024,GLF*COTTONWOODGOLFCLUB,Food & Drink,Sale,-12.82,
01/05/2024,01/07/2024,SQ *LANDINI'S PIZZERIA,Food & Drink,Sale,-5.93,
01/06/2024,01/07/2024,CHIPOTLE 2425,Food & Drink,Sale,-29.04,
01/06/2024,01/07/2024,GLF*COTTONWOODGOLFCLUB,Entertainment,Sale,-180.00,
01/06/2024,01/07/2024,TST* FERNSIDE,Food & Drink,Sale,-44.00,
01/05/2024,01/07/2024,HFS LIBERTY STATION,Food & Drink,Sale,-21.10,
01/04/2024,01/05/2024,DD DOORDASH TACOBELL,Food & Drink,Sale,-17.98,
01/02/2024,01/03/2024,THE LOT - RESTAURANT,Food & Drink,Sale,-23.56,
01/02/2024,01/03/2024,THE LOT - RESTAURANT,Food & Drink,Sale,-24.47,
12/31/2023,01/02/2024,IN-N-OUT CHULA VISTA,Food & Drink,Sale,-18.22,
01/01/2024,01/02/2024,ACE PARKING 1333,Travel,Sale,-3.00,
